City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
Marble,214,292,89,5,52,15,12,35,3,7,15,25,764
Marble Canyon,125,29,4,0,2,0,0,0,0,2,2,0,164
Marble Falls,312,1066,1124,32,165,96,74,497,48,87,171,103,3775
Marble Hill,54,337,363,2,495,4,17,58,3,10,102,42,1487
Marble Rock,7,5,13,4,32,0,6,42,2,2,18,9,140
Marblehead,6,1,6,233,14,0,822,327,973,1216,680,26,4304
Marblemount,22,8,46,0,8,1,1,2,1,0,4,4,97
Marbury,44,84,45,17,242,0,40,18,12,30,64,27,623
Marceline,103,270,117,10,68,2,23,19,2,6,16,23,659
Marcell,21,16,20,2,12,0,6,19,1,1,3,2,103
Marcella,106,25,21,0,14,0,1,1,0,0,7,1,176
Marcellus,32,376,295,113,351,7,169,161,96,92,290,128,2110
March Air Reserve Base,93,0,6,3,2,0,97,24,14,16,16,1,272
Marchand,1,2,1,0,5,0,0,0,0,0,0,0,9
Marco Island,89,24,261,13,160,3,1364,1880,344,118,134,62,4452
Marcola,6,5,112,1,14,0,18,75,3,6,45,9,294
Marcus,56,7,91,2,15,0,6,171,4,2,16,12,382
Marcus Hook,82,917,319,259,815,174,152,106,163,372,496,142,3997
Marcy,3,2,69,56,45,3,176,154,21,135,195,22,881
Mardela Springs,25,16,28,16,124,0,32,39,3,58,202,6,549
Marengo,191,596,675,251,702,18,232,321,176,349,1342,386,5239
Marenisco,40,14,150,0,3,0,7,9,1,1,3,5,233
Marfa,969,290,64,2,147,1,0,1,0,11,7,16,1508
Margarettsville,14,24,32,0,3,0,1,1,0,0,2,2,79
Margaretville,15,27,186,2,36,2,11,159,4,3,9,36,490
Margate City,57,91,214,9,124,0,113,585,112,25,98,60,1488
Maria Stein,2,1,34,7,66,0,13,27,2,25,193,17,387
Mariah Hill,2,0,4,2,8,0,3,11,1,4,3,1,39
Marianna,1326,910,617,50,1243,524,317,122,29,84,390,233,5845
Maribel,6,7,49,7,41,0,57,13,4,41,93,10,328
Maricopa,66,372,482,339,4730,57,246,117,63,1499,1582,554,10107
Marienthal,3,2,22,0,4,0,2,4,4,3,5,3,52
Marienville,50,39,217,6,11,4,3,6,4,2,1,1,344
Marietta,1660,3408,3225,6664,8129,5431,1850,4357,6319,12456,10060,7938,71497
Marilla,2,0,7,27,16,0,89,27,24,16,46,2,256
Marina,150,99,660,153,917,381,90,130,100,252,662,710,4304
Marina Del Rey,11,6,27,1239,20,4,721,615,816,3148,231,119,6957
Marine,12,8,29,42,37,0,19,9,4,27,138,9,334
Marine City,108,352,326,41,214,50,80,95,34,57,217,44,1618
Marine On Saint Croix,1,1,10,54,6,0,176,57,97,73,88,0,563
Marinette,182,1133,517,25,411,231,257,132,54,137,253,152,3484
Maringouin,258,69,41,1,158,1,5,7,1,1,52,13,607
Marion,7029,17433,6244,1491,8053,3904,1599,3060,1004,2740,5169,2382,60108
Marion Center,28,179,197,15,89,3,7,15,6,7,56,11,613
Marion Heights,84,35,3,1,6,0,3,1,2,2,4,2,143
Marion Junction,119,193,8,1,9,5,2,3,0,0,5,2,347
Marion Station,62,9,55,4,61,0,46,32,2,12,42,9,334
Marionville,197,190,186,4,110,32,17,39,10,17,45,44,891
Mariposa,201,143,1188,3,194,25,49,289,17,12,90,148,2359
Marissa,65,66,67,16,321,13,23,14,7,8,104,56,760
Mark Center,3,1,18,0,31,0,3,2,2,5,6,3,74
