City,ComfortableRetirees,DiverseWorkers,ElderMidscaleClass,EliteHouseholds,MassMarkets,ModestFamilies,ProsperousAcheivers,UpscaleMatures,WellheeledAffluents,YoungAffluentMobiles,YoungUpscaleFamilies,YoungUrbanMasses,Total
Crystal Spring,10,18,53,3,5,1,3,3,3,1,10,1,111
Crystal Springs,247,710,460,11,525,39,17,15,13,56,114,64,2271
Cub Run,28,202,47,0,11,1,2,5,0,2,3,2,303
Cuba,395,2006,1049,15,738,47,64,95,12,32,99,120,4672
Cuba City,60,39,465,30,302,8,77,84,6,52,49,27,1199
Cubero,782,92,93,1,81,7,5,7,0,2,19,23,1112
Cudahy,161,353,397,44,1400,163,224,319,79,110,324,666,4240
Cuddebackville,3,5,35,3,111,0,21,33,2,34,182,31,460
Cuddy,4,2,4,12,11,0,7,3,3,21,35,6,108
Cuero,515,394,226,33,339,48,104,173,20,19,154,87,2112
Cuervo,0,2,0,0,2,0,0,0,0,0,0,2,6
Culbertson,81,34,249,3,30,2,6,6,1,6,15,12,445
Culdesac,53,37,106,2,28,3,6,6,2,2,2,24,271
Cullen,30,28,21,1,25,2,2,6,0,1,4,12,132
Culleoka,68,134,119,15,111,4,79,10,10,51,310,28,939
Cullman,1254,2720,1289,43,1916,484,170,185,42,65,503,235,8906
Culloden,72,105,448,20,425,9,80,46,9,39,125,70,1448
Cullom,17,18,91,2,9,4,3,3,0,6,8,9,170
Cullowhee,152,114,104,10,55,1047,11,25,3,51,110,513,2195
Culpeper,124,108,294,406,2043,83,348,301,215,669,531,1031,6153
Culver,238,234,229,23,300,3,42,112,11,25,77,155,1449
Culver City,53,96,213,238,550,743,1610,268,796,3798,1196,943,10504
Cumberland,2095,3885,2704,1316,2338,502,1019,990,675,1461,1563,1226,19774
Cumberland Center,13,0,8,409,6,0,225,96,155,110,77,4,1103
Cumberland City,50,39,85,1,86,15,10,7,2,1,29,8,333
Cumberland Foreside,2,1,6,20,0,0,126,65,21,13,63,1,318
Cumberland Furnace,31,113,176,6,222,3,30,23,5,26,69,17,721
Cumberland Gap,64,188,230,2,75,20,11,12,0,3,24,60,689
Cumby,26,38,588,3,95,0,9,19,7,11,21,16,833
Cumming,113,316,895,8796,1350,11,705,665,1202,2681,7665,671,25070
Cummings,15,15,36,5,35,0,8,14,3,9,9,13,162
Cummington,0,0,5,3,54,0,14,91,3,16,55,10,251
Cunningham,180,109,181,14,343,2,39,34,9,34,35,31,1011
Cupertino,4,1,8,4778,30,0,535,21,2291,3364,289,69,11390
Curlew,33,19,148,0,28,0,3,6,2,5,7,11,262
Curran,45,18,11,0,2,0,2,6,1,0,4,0,89
Currie,92,90,202,7,196,0,43,31,3,6,18,22,710
Currituck,2,0,5,16,9,0,11,28,4,37,105,7,224
Curryville,35,27,128,6,51,1,3,3,5,5,25,2,291
Curtice,33,32,72,94,149,1,147,143,40,45,84,19,859
Curtis,144,61,114,2,157,6,9,7,3,2,19,25,549
Curtis Bay,17,422,2,348,17,249,41,15,16,292,104,33,1556
Curtiss,8,61,39,3,54,2,5,2,1,7,15,6,203
Curwensville,62,408,300,10,204,7,9,34,4,8,68,12,1126
Cushing,438,911,739,28,731,87,88,139,15,68,233,208,3685
Cusick,28,46,144,7,9,0,5,7,4,0,16,7,273
Cusseta,44,194,71,2,537,23,7,13,1,12,54,144,1102
Custar,4,18,10,4,114,1,6,5,2,3,37,3,207
Custer,161,452,998,75,295,30,197,268,44,113,411,124,3168
Custer City,19,3,65,1,29,1,2,3,2,1,7,12,145
Cut Bank,37,146,121,12,482,3,8,44,2,9,65,46,975
Cut Off,43,48,323,70,582,0,78,93,8,87,225,264,1821
Cutchogue,11,3,19,44,20,0,422,158,52,37,61,5,832
Cuthbert,331,778,41,1,16,70,3,4,1,1,4,5,1255
Cutler,138,378,215,18,547,113,36,42,15,43,174,196,1915
Cuttingsville,11,7,35,3,43,0,14,25,7,21,61,11,238
Cuttyhunk,20,0,0,0,0,0,0,0,0,0,0,0,20
Cuyahoga Falls,558,592,1636,240,2759,426,264,575,121,854,800,2419,11244
Cyclone,111,124,106,1,27,2,6,3,2,3,16,6,407
Cygnet,12,30,45,20,180,1,12,6,2,4,18,9,339
Cylinder,8,2,15,3,19,0,6,4,3,3,14,10,87
Cynthiana,118,982,506,28,855,199,131,121,54,54,208,122,3378
Cypress,201,323,631,8330,5669,83,2831,548,2267,3872,4399,1614,30768
Cypress Inn,8,97,48,1,54,0,3,3,2,2,11,6,235
Cyril,16,178,9,1,65,8,3,1,0,0,8,23,312
Cyrus,14,6,52,2,38,0,8,20,1,3,18,6,168
D Hanis,9,5,20,1,11,0,8,146,2,1,7,2,212
Dacoma,18,9,13,2,2,0,4,3,1,2,5,1,60
Dacono,24,298,114,26,126,1,25,7,0,81,95,16,813
Dacula,56,121,292,1398,587,7,344,413,100,1212,2339,65,6934
Dade City,1332,1775,1388,154,834,139,83,314,241,155,366,201,6982
Dadeville,692,599,260,9,113,52,80,138,16,25,36,12,2032
Dafter,10,10,94,1,57,1,3,9,1,3,19,4,212
Daggett,147,111,38,2,14,8,3,5,2,1,6,13,350
Dagmar,7,2,5,1,2,0,2,24,0,2,1,5,51
Dagsboro,45,50,319,10,442,5,32,196,6,60,162,53,1380
Dahinda,3,2,14,1,15,0,36,116,2,22,9,3,223
Dahlen,0,1,12,0,1,0,0,1,0,0,0,0,15
Dahlgren,68,31,106,2,89,1,7,7,1,5,24,42,383
Dahlonega,718,759,1274,37,712,177,127,372,95,79,141,416,4907
Daingerfield,104,474,142,7,256,7,43,65,4,5,80,66,1253
Dairy,5,6,16,0,4,1,3,4,1,1,2,4,47
Daisy,21,5,10,0,14,0,2,1,0,0,1,2,56
Daisytown,34,31,172,2,94,0,16,10,5,5,18,11,398
Dakota,13,76,38,11,117,2,17,41,10,30,32,8,395
Dakota City,13,24,90,7,344,2,10,29,6,5,24,68,622
Dalbo,4,10,17,8,76,0,8,10,3,8,9,1,154
Dale,68,149,651,47,493,5,54,104,28,34,298,132,2063
Daleville,130,230,308,55,582,32,369,223,85,143,408,843,3408
Dalhart,81,400,51,30,391,16,56,40,31,79,324,219,1718
Dallas,7816,40919,18022,10671,66773,21863,22160,12608,9544,34052,14793,27614,286835
Dallas Center,5,5,14,18,107,0,24,180,4,63,85,10,515
Dallas City,34,72,178,7,61,8,11,8,1,4,15,7,406
Dallastown,43,99,143,106,632,91,198,128,23,195,283,248,2189
Dallesport,39,2,7,0,1,0,0,1,0,0,0,3,53
Dalmatia,30,16,88,5,176,1,18,26,5,20,26,28,439
Dalton,1492,4481,3386,379,2806,1012,1219,1149,196,889,1172,1243,19424
Dalton City,4,9,38,2,106,0,4,10,6,3,9,6,197
Daly City,130,45,621,3281,950,28,1041,596,952,2098,7007,944,17693
Dalzell,36,169,242,3,777,61,47,23,6,49,200,135,1748
Damar,4,3,13,2,8,0,1,1,2,2,3,3,42
Damariscotta,33,101,217,0,69,4,4,31,6,1,27,7,500
Damascus,585,337,291,1047,350,5,350,557,436,698,1201,181,6038
Dameron,0,0,4,12,6,0,11,44,6,8,9,6,106
Dammeron Valley,3,2,53,0,32,0,5,49,0,2,10,3,159
Damon,22,31,61,19,49,0,16,105,3,9,108,15,438
Dana,26,117,177,5,53,2,11,8,2,2,40,6,449
Dana Point,9,3,44,278,68,12,1144,402,1298,1681,517,592,6048
Danbury,628,1515,948,1459,1283,338,831,325,843,2063,2838,4358,17429
Danby,16,5,69,6,60,1,11,95,3,5,12,20,303
Dandridge,491,1220,205,3,890,29,57,283,8,28,237,43,3494
Dane,2,1,18,85,40,0,21,14,16,56,115,16,384
Danese,74,145,39,3,13,3,2,3,1,0,6,5,294
Danforth,64,90,54,4,52,7,15,50,14,4,23,9,386
Dania,176,755,470,29,674,518,180,242,11,227,141,437,3860
Daniel,0,0,13,6,13,0,5,7,1,41,89,4,179
Daniels,75,297,506,3,106,2,9,15,1,8,43,12,1077
Danielson,68,291,90,132,510,60,276,45,61,184,383,316,2416
Danielsville,207,334,219,27,678,4,109,187,23,83,319,43,2233
Dannebrog,18,15,59,2,35,1,5,18,1,9,14,11,188
Dansville,70,246,559,31,611,62,124,185,36,59,400,262,2645
Dante,56,108,25,0,28,1,4,1,0,0,2,7,232
Danube,10,3,92,2,17,0,6,7,1,5,21,2,166
Danvers,190,33,236,517,632,2,1373,300,724,800,998,222,6027
Danville,3910,9642,5668,2694,5824,2245,1570,1835,6060,3788,3823,3797,50856
Daphne,82,365,785,240,1668,103,202,388,368,552,991,410,6154
Darby,426,395,321,2,2420,81,7,26,6,24,90,609,4407
Dardanelle,253,646,192,10,791,80,8,18,13,19,131,59,2220
Darden,22,33,55,2,57,13,4,5,1,2,18,4,216
Darfur,6,6,4,2,4,0,3,8,2,1,1,1,38
Darien,116,323,1110,1325,830,27,732,744,1973,1131,1364,627,10302
Darien Center,4,3,103,18,69,0,48,49,7,9,121,20,451
Darlington,754,2902,933,98,1226,373,375,179,54,100,583,290,7867
Darrington,58,265,51,1,56,5,5,5,1,3,14,33,497
Darrow,12,2,9,18,35,0,40,1,36,109,109,0,371
Darwin,11,6,84,7,48,0,34,22,4,8,40,5,269
Dassel,45,55,246,30,243,2,42,120,14,12,62,26,897
Dateland,23,65,1,0,1,1,0,0,0,1,1,1,94
Datil,109,9,83,0,9,0,0,0,0,0,2,0,212
Datto,3,3,2,0,2,0,0,0,0,0,0,1,11
Daufuskie Island,0,0,6,0,4,0,26,57,1,1,4,29,128
Dauphin,25,5,175,18,116,0,171,142,8,140,91,39,930
Dauphin Island,21,4,72,0,58,0,6,78,1,7,54,21,322
Davenport,1892,6315,3274,1068,7691,877,2301,1681,451,1349,1928,4422,33249
Davenport Center,6,2,16,0,12,0,1,2,0,2,2,3,46
Davey,2,3,2,9,4,1,18,9,5,26,25,2,106
David,23,38,4,1,17,1,0,2,0,1,4,1,92
David City,103,194,178,12,153,6,23,18,12,11,48,47,805
Davidson,212,13,138,649,252,14,190,105,80,381,563,259,2856
Davidsonville,1,1,3,60,1,0,34,6,853,423,38,0,1420
Davidsville,6,35,112,6,91,1,10,83,1,2,29,14,390
Davilla,7,1,245,1,19,0,4,4,0,2,1,4,288
Davin,134,55,52,3,59,10,7,4,0,4,12,6,346
Davis,604,410,900,570,840,2858,1800,1002,276,1715,1503,3803,16281
Davis City,22,21,74,2,18,1,3,2,1,1,1,5,151
Davis Creek,43,2,21,0,2,1,1,1,0,0,1,5,77
Davis Junction,6,6,42,24,109,0,39,29,5,178,136,4,578
Davisboro,33,106,23,6,73,0,4,1,1,1,6,14,268
Davisburg,20,31,26,165,100,0,241,72,30,268,396,5,1354
Davison,291,1124,1351,181,1493,796,418,400,36,230,632,79,7031
Daviston,49,180,22,2,45,3,2,6,2,2,14,2,329
Davisville,32,140,151,11,171,2,11,23,3,5,19,43,611
Davy,231,180,5,0,3,1,0,0,0,0,1,2,423
Dawn,22,23,15,1,20,2,4,2,1,1,8,3,102
Dawson,717,546,954,53,313,390,114,228,36,44,194,159,3748
Dawson Springs,197,624,204,7,243,85,8,12,3,15,13,19,1430
Dawsonville,426,595,463,53,1641,47,180,431,80,174,699,216,5005
Day,6,13,114,1,22,1,3,1,0,2,3,4,170
Dayhoit,2,12,1,0,1,1,0,0,0,0,0,0,17
Daykin,9,1,21,1,6,0,5,6,3,1,4,3,60
Days Creek,75,30,24,0,7,2,0,2,0,0,2,8,150
Dayton,11604,29631,10870,5973,9012,18066,5665,10119,1898,7278,9130,5989,125235
Daytona Beach,2863,10978,3088,64,435,2317,630,925,139,161,220,1045,22865
Dayville,26,9,270,42,243,4,55,58,16,132,336,152,1343
Dazey,3,8,27,0,20,0,3,3,0,1,17,0,82
De Beque,19,8,123,0,38,5,2,9,1,1,8,17,231
De Berry,50,209,157,25,123,1,58,23,2,20,54,14,736
De Forest,21,32,116,800,188,2,119,52,137,594,548,238,2847
De Graff,21,61,199,19,205,0,31,11,3,34,82,33,699
De Kalb,733,642,335,28,258,48,54,99,15,44,102,41,2399
De Kalb Junction,9,25,17,2,162,1,2,11,0,8,10,19,266
De Land,2,0,5,3,18,0,59,8,6,9,25,2,137
De Leon,237,315,128,5,83,18,22,21,4,2,11,20,866
De Leon Springs,123,168,369,6,180,1,16,19,3,16,55,27,983
De Mossville,14,25,94,4,124,2,12,9,3,22,34,16,359
De Pere,458,278,196,477,1882,234,893,269,273,1004,1693,920,8577
De Peyster,2,4,4,0,32,0,0,0,0,0,1,2,45
De Queen,71,1320,111,4,222,50,9,5,1,1,16,61,1871
De Ruyter,36,32,81,6,110,0,6,17,1,5,83,9,386
De Smet,199,12,96,1,18,1,4,8,2,2,16,29,388
De Soto,604,1618,1001,410,1061,81,243,365,82,172,572,411,6620
De Tour Village,20,15,73,3,23,1,3,33,1,6,5,1,184
De Valls Bluff,248,64,38,2,20,3,2,2,0,2,1,11,393
De Witt,309,460,575,76,492,87,156,169,50,106,360,218,3058
Deadwood,48,54,233,3,75,5,24,147,4,5,28,44,670
Deal,2,0,7,1,7,0,60,77,5,31,28,3,221
Deal Island,22,22,106,1,25,1,6,10,1,1,16,23,234
Deale,0,0,2,23,10,0,208,73,12,119,75,6,528
Deane,21,97,2,0,3,0,0,0,0,1,0,1,125
Deansboro,4,3,100,2,36,0,6,24,6,12,29,16,238
Dearborn,864,4177,1846,320,3743,366,1124,1107,482,1165,2136,729,18059
Dearborn Heights,805,2265,993,252,3352,60,302,473,189,563,1710,485,11449
Dearing,37,224,136,3,168,26,11,5,3,11,15,181,820
Deary,12,14,154,5,51,1,10,46,3,8,28,7,339
Death Valley,129,2,2,2,1,0,1,1,0,0,2,21,161
Deatsville,47,61,208,45,826,2,106,116,46,84,657,86,2284
Deaver,14,4,66,0,23,1,3,5,2,3,10,8,139
Debary,91,666,892,44,545,11,653,781,72,235,274,61,4325
Debord,61,146,16,0,24,0,0,0,0,0,2,4,253
Decatur,4022,19232,5916,1882,16295,9396,3834,2583,969,2976,7626,5128,79859
Decaturville,268,126,152,2,103,2,7,12,0,2,24,14,712
Decherd,256,517,46,2,165,24,12,10,4,4,37,25,1102
Decker,15,55,46,2,128,23,7,11,1,4,22,10,324
Deckerville,42,232,202,2,63,2,8,8,2,4,14,10,589
Declo,16,25,46,0,174,1,1,4,0,1,10,32,310
Decorah,139,271,302,43,290,88,275,122,39,228,718,181,2696
Dedham,96,8,330,690,201,8,466,260,631,1587,784,147,5208
Deep Gap,22,72,55,1,157,46,6,8,2,5,19,104,497
Deep River,23,19,136,110,160,0,97,145,42,80,260,100,1172
Deep Run,27,139,104,1,231,17,3,4,1,2,29,108,666
Deepwater,55,166,108,1,21,0,9,9,1,2,10,12,394
Deer,230,55,9,0,8,1,0,0,0,0,0,2,305
Deer Creek,39,47,55,31,114,1,26,19,11,24,128,18,513
Deer Grove,3,1,10,1,12,0,1,3,3,2,9,4,49
Deer Island,10,7,71,5,51,0,27,30,12,13,79,15,320
Deer Isle,141,48,68,0,33,0,2,25,0,12,4,54,387
Deer Lodge,195,375,309,15,203,25,45,59,13,14,67,46,1366
Deer Park,402,204,1619,2023,1016,24,2127,1009,502,573,2988,961,13448
Deer River,203,292,265,7,44,35,20,65,17,3,23,10,984
Deer Trail,8,5,20,5,14,1,35,9,5,13,133,19,267
Deerbrook,35,12,170,1,67,0,4,23,3,4,28,4,351
Deerfield,83,39,458,2073,584,2,862,261,1983,944,632,163,8084
Deerfield Beach,4386,1901,1732,46,613,359,679,748,229,1149,1065,1002,13909
Deering,19,22,32,0,7,2,2,1,0,2,2,7,96
Deerton,58,3,22,0,3,0,1,2,0,0,2,1,92
Deerwood,105,45,242,17,121,2,23,74,14,5,31,18,697
Deeth,1,2,2,5,10,1,1,1,0,2,5,5,35
Defiance,534,486,801,269,1958,159,368,445,158,140,1100,325,6743
Deford,11,104,97,1,71,2,2,4,4,2,7,2,307
Defuniak Springs,677,1847,705,8,478,121,99,85,17,18,159,179,4393
Dekalb,107,1364,212,273,283,1434,345,282,22,327,417,3513,8579
Del Mar,1,0,0,193,0,0,73,18,2471,809,11,0,3576
Del Norte,67,241,106,9,46,22,21,65,3,20,22,37,659
Del Rey,16,12,12,1,20,0,5,5,1,3,23,258,356
Del Rio,1179,2912,356,192,593,253,445,178,76,427,1244,772,8627
Del Valle,54,423,176,7,1401,51,55,21,16,94,455,267,3020
Delafield,9,3,29,256,55,0,234,151,421,77,210,34,1479
Delancey,36,9,79,1,20,0,6,26,2,7,16,16,218
Deland,2023,1821,2254,265,1358,407,283,1513,255,561,1292,934,12966
Delano,261,3077,389,468,1232,556,356,127,12,228,518,1004,8228
Delanson,13,9,67,110,53,0,299,110,46,67,109,21,904
Delaplaine,10,10,7,0,52,2,0,2,0,1,4,5,93
Delaplane,2,0,5,13,8,0,43,16,18,43,55,5,208
Delavan,177,492,741,65,1065,141,138,217,30,223,505,186,3980
Delaware,246,2104,473,1664,1198,400,882,173,343,639,1685,701,10508
Delaware City,22,4,52,15,25,0,11,8,13,19,177,21,367
Delaware Water Gap,12,4,9,2,20,10,5,10,2,5,97,67,243
Delbarton,78,362,48,5,338,5,0,2,0,1,32,150,1021
Delcambre,31,11,81,18,212,1,9,9,3,9,63,26,473
Delco,48,57,129,3,130,1,5,9,1,1,12,11,407
Delevan,144,123,119,4,350,30,11,24,3,21,96,114,1039
Delhi,280,334,572,38,1138,86,111,127,26,104,559,813,4188
Delia,8,27,23,1,19,2,5,3,2,3,9,19,121
Delight,101,191,30,1,25,4,3,15,7,2,5,16,400
Dell,9,10,15,1,19,2,1,1,0,0,3,2,63
Dell City,119,8,0,0,0,0,0,0,0,0,0,0,127
Dell Rapids,40,141,27,48,154,16,143,23,9,165,144,70,980
Dellrose,3,21,9,0,43,1,0,3,0,0,11,1,92
Dellroy,11,50,155,4,88,0,12,11,1,9,11,9,361
Delmar,217,343,367,530,467,80,779,389,697,1091,802,468,6230
Delmita,15,25,2,0,4,0,0,0,0,0,1,0,47
Delmont,177,131,355,62,60,1,140,144,17,169,158,66,1480
Deloit,3,11,24,1,11,0,2,2,1,9,7,2,73
Delphi,180,175,237,32,506,26,80,78,41,57,204,58,1674
Delphia,6,45,2,0,3,2,0,0,0,0,0,2,60
Delphos,76,631,502,86,396,88,105,144,45,19,223,31,2346
Delray,2,197,5,0,10,0,0,0,0,0,0,0,214
Delray Beach,11813,3647,1141,287,1884,742,1304,3247,1485,1245,561,1079,28435
Delta,403,1430,883,113,2007,80,165,230,52,325,1086,332,7106
Delta Junction,1,1,8,870,1,0,9,4,1,7,56,6,964
Deltaville,20,10,112,1,12,0,15,198,5,8,13,3,397
Delton,86,365,287,52,309,1,66,71,26,20,165,33,1481
Deltona,868,1502,3269,47,5036,124,559,362,32,1299,3301,154,16553
Dema,15,19,3,0,9,0,0,0,0,0,1,0,47
Demarest,0,1,2,344,1,0,85,3,334,60,12,0,842
Deming,2813,915,512,11,655,186,51,134,9,25,150,244,5705
Demopolis,260,690,44,38,98,233,64,19,5,43,88,178,1760
Demorest,132,452,262,9,213,69,12,15,11,31,95,99,1400
Demotte,49,103,245,151,713,3,79,515,62,128,393,188,2629
Denair,14,8,123,84,291,4,103,84,29,105,214,111,1170
Denali National Park,0,0,0,0,0,0,5,0,0,0,1,0,6
Dendron,13,14,16,2,64,1,6,6,4,3,31,6,166
Denham Springs,229,435,380,1249,4736,40,1092,254,133,836,3402,1176,13962
Denhoff,4,3,16,0,2,0,0,1,0,0,0,1,27
Denio,3,0,4,0,6,0,2,1,1,1,9,4,31
Denison,375,2308,1202,98,1589,285,181,470,166,315,622,552,8163
Denmark,531,412,403,59,561,120,68,88,11,121,326,123,2823
Dennard,74,97,34,2,32,1,4,1,0,0,3,3,251
Dennehotso,0,235,0,0,0,0,0,0,0,0,0,0,235
Dennis,79,212,192,17,69,3,117,390,41,43,74,29,1266
Dennis Port,73,51,77,4,152,24,38,155,9,7,36,177,803
Dennison,130,439,192,41,131,38,42,71,33,45,146,37,1345
Denniston,10,7,10,0,11,0,0,1,0,0,1,0,40
Dennysville,25,26,68,1,23,0,1,3,0,1,4,1,153
Dent,9,25,142,3,98,0,30,40,3,3,19,5,377
Denton,681,1824,1331,3762,3863,11296,1764,879,761,2558,2830,1640,33189
Denver,3710,18702,16949,7578,43370,11721,5752,12782,8042,39065,8775,56210,232656
Denver City,42,316,83,23,356,2,26,15,6,14,111,59,1053
Denville,16,0,36,384,7,0,592,313,519,1049,697,37,3650
Depauw,29,40,46,6,285,1,20,14,5,6,31,20,503
Depew,186,823,556,214,1709,32,252,663,102,164,948,715,6364
Depoe Bay,39,17,606,0,48,20,5,55,0,3,1,26,820
Deport,65,68,104,2,33,0,9,8,1,2,10,3,305
Deposit,129,250,109,4,71,19,12,10,2,4,36,53,699
Deputy,30,70,44,7,126,2,21,19,8,10,63,30,430
Dequincy,143,204,125,10,844,37,23,47,2,41,140,25,1641
Derby,179,863,1023,679,1949,18,899,482,208,937,1510,1399,10146
Derby Line,22,27,103,3,143,1,8,3,2,7,8,15,342
Deridder,434,949,1041,71,1053,44,256,275,40,145,493,468,5269
Dermott,296,229,48,0,72,42,7,2,0,0,5,8,709
Derrick City,3,2,37,1,22,0,1,2,0,0,2,1,71
Derry,272,753,630,1354,1006,388,779,216,445,1007,727,699,8276
Derwood,0,1,9,628,2,0,82,42,952,486,397,8,2607
Des Allemands,48,157,48,43,116,0,42,22,12,6,300,17,811
Des Arc,149,255,213,3,41,13,21,14,4,1,24,77,815
Des Lacs,1,1,11,2,11,0,6,13,2,5,43,3,98
Des Moines,961,12705,4369,1437,10046,2697,1685,1434,491,1680,2842,4753,45100
Des Plaines,1289,1310,1672,472,973,810,4099,1090,800,2266,1352,2061,18194
Descanso,2,0,9,21,4,0,23,281,3,45,22,27,437
Desdemona,20,37,16,0,13,3,1,2,1,1,3,5,102
Desert Center,4,62,43,1,14,3,1,1,1,1,2,2,135
Desert Hot Springs,1878,3803,575,56,839,256,153,98,53,142,431,370,8654
Desha,6,27,11,0,12,3,1,3,0,2,5,6,76
Deshler,163,157,115,18,178,5,45,39,6,30,26,18,800
Desmet,18,13,3,0,3,3,0,1,0,0,4,1,46
Desoto,412,1558,343,1070,1469,570,989,156,311,1167,653,1534,10232
Destin,26,72,248,111,291,21,600,355,308,276,879,504,3691
Destrehan,76,76,89,362,289,0,243,89,188,193,591,149,2345
Detroit,17551,59725,8156,278,15730,7726,2713,832,281,1122,5039,10447,129600
Detroit Lakes,481,799,264,17,894,121,93,245,16,81,571,130,3712
Devens,0,0,2,10,12,0,4,3,1,2,22,6,62
Devers,7,9,125,2,20,0,5,4,1,1,4,1,179
Deville,48,77,251,10,841,0,36,47,1,22,111,50,1494
Devils Elbow,2,13,16,0,78,1,5,2,1,6,6,18,148
Devils Lake,279,581,377,69,81,113,218,110,41,50,167,166,2252
Devils Tower,3,0,2,0,1,0,1,3,0,1,16,1,28
Devine,172,701,213,16,276,27,82,41,14,45,108,38,1733
Devol,1,1,49,0,8,0,0,1,0,1,2,5,68
Devon,3,10,3,195,13,0,43,13,573,402,166,130,1551
Deweese,2,14,20,0,14,0,1,1,0,1,2,3,58
Dewey,847,957,311,23,372,73,93,531,14,30,256,44,3551
Deweyville,65,22,111,16,83,0,18,33,13,55,146,11,573
Dewitt,92,65,272,710,582,8,175,252,211,358,638,359,3722
Dewittville,26,8,71,1,67,0,3,31,0,1,8,22,238
Dewy Rose,21,178,87,0,29,2,3,5,0,0,11,3,339
Dexter,671,2068,958,436,1800,195,780,482,615,351,1315,386,10057
Dexter City,15,31,25,1,21,0,1,3,0,1,1,2,101
Diablo,0,0,0,12,0,0,3,1,44,66,0,0,126
Diagonal,13,39,61,1,27,0,3,3,2,2,9,7,167
Diamond,62,126,174,13,301,14,37,54,23,16,189,40,1049
Diamond Bar,75,1,55,2152,162,4,1219,131,1812,906,1530,73,8120
Diamond Point,8,4,7,5,14,0,83,59,13,15,10,14,232
Diamond Springs,41,23,131,10,85,1,75,266,17,29,143,71,892
Diamondhead,16,8,85,75,184,1,475,749,23,145,131,5,1897
Diana,116,319,89,17,323,9,16,19,10,17,157,46,1138
Diberville,55,143,124,4,692,16,10,4,3,21,41,965,2078
Diboll,95,518,114,6,420,62,33,12,8,12,86,61,1427
Dice,4,38,4,1,4,0,0,0,0,1,0,0,52
Dickens,75,29,87,2,19,0,14,12,2,4,16,11,271
Dickerson,0,0,1,122,1,0,23,31,114,69,19,1,381
Dickey,4,3,14,0,3,0,1,4,1,0,3,2,35
Dickinson,685,776,964,935,1941,244,649,607,159,1689,2613,1613,12875
Dickinson Center,24,38,27,0,34,0,3,1,0,0,11,2,140
Dickson,280,1304,651,126,1411,605,375,102,63,95,401,220,5633
Dierks,51,275,51,1,65,1,2,1,0,1,4,8,460
Dieterich,15,5,60,9,112,0,23,36,8,22,73,9,372
Dietrich,9,54,12,0,22,2,1,3,1,1,4,7,116
Diggs,14,3,11,0,6,0,1,3,0,0,1,1,40
Dighton,253,7,61,106,43,0,125,109,13,66,107,28,918
Dike,16,10,64,7,34,0,181,18,15,9,60,9,423
Dill City,18,125,19,0,44,0,1,1,0,4,3,1,216
Dillard,65,91,107,2,15,4,11,46,1,3,9,16,370
Dille,10,46,3,0,3,1,0,1,0,0,0,4,68
Diller,17,7,16,4,20,0,11,25,2,3,5,2,112
Dilley,86,51,70,3,322,8,4,11,3,2,11,57,628
Dilliner,59,182,65,8,95,7,10,2,3,1,20,25,477
Dillingham,38,5,55,7,61,5,250,17,26,54,65,42,625
Dillon,942,2092,554,78,526,368,165,205,41,1123,296,429,6819
Dillon Beach,0,0,3,1,2,0,28,17,6,7,8,3,75
Dillonvale,166,250,267,7,90,0,16,7,1,5,29,7,845
Dillsboro,88,26,164,10,193,2,72,21,17,17,187,51,848
Dillsburg,60,116,183,410,250,24,581,478,41,366,1010,99,3618
Dillwyn,164,734,74,2,45,10,15,4,6,12,9,25,1100
Dilworth,15,87,57,13,254,1,18,13,2,85,60,238,843
Dime Box,47,51,51,1,15,0,2,13,2,1,7,5,195
Dimmitt,74,649,34,7,224,29,11,24,4,2,10,54,1122
Dimock,17,6,25,2,8,0,4,5,1,2,4,7,81
Dimondale,15,41,210,70,178,1,116,201,49,72,222,15,1190
Dingess,4,298,5,0,59,0,0,0,0,0,0,3,369
Dingmans Ferry,48,23,98,36,419,0,129,74,10,65,665,4,1571
Dinosaur,3,1,65,2,5,0,2,3,2,1,7,2,93
Dinuba,228,757,361,76,1213,165,183,51,5,135,140,786,4100
Dinwiddie,38,30,213,19,217,1,27,23,10,31,61,42,712
Discovery Bay,0,1,7,573,2,0,598,34,774,479,74,3,2545
Disputanta,31,12,177,21,199,2,152,175,42,112,348,60,1331
District Heights,87,781,141,542,698,516,1459,310,264,246,786,2099,7929
Dittmer,8,97,227,25,365,1,61,67,14,18,127,6,1016
Divernon,6,2,19,10,40,0,130,7,2,5,101,5,327
Divide,22,10,97,21,106,0,129,198,42,157,145,19,946
Dix,63,116,77,2,67,6,12,17,2,9,32,19,422
Dixfield,38,300,178,5,83,3,6,12,1,2,23,12,663
Dixie,102,52,57,2,60,4,5,4,0,3,9,6,304
Dixmont,20,3,32,2,117,0,9,7,2,30,19,6,247
Dixon,596,1633,1481,509,1367,187,502,786,150,848,1392,1231,10682
Dixon Springs,17,33,22,1,72,2,1,1,1,1,9,2,162
Dixons Mills,35,124,30,1,36,3,1,2,0,1,6,1,240
Dobbins,2,3,9,0,2,0,2,236,0,2,4,7,267
Dobbs Ferry,9,2,8,175,16,0,312,67,504,888,80,51,2112
Dobson,270,489,319,7,499,16,9,29,3,11,70,85,1807
Dodd City,21,6,32,2,38,1,9,184,3,3,5,3,307
Doddridge,82,97,89,1,29,0,11,4,2,2,15,4,336
Doddsville,11,55,4,1,7,2,0,0,0,0,0,3,83
